Fold,R2,MAE,RMSE
1,-0.34339384918483384,4.841991263871835,6.361408541969704
2,-0.044758432185284525,3.9519930361694686,4.469442143626206
3,-0.22388227645954095,3.802421418754272,4.351621672169781
4,-0.02710543303220181,4.533522672863026,5.460191946619068
5,-0.06325784513651223,3.2584923432388586,3.6558293488953644
