Fold,R2,MAE,RMSE
1,0.17681744591566984,3.7427996181501593,4.190128689193517
2,0.21661853206343995,3.6797758183760974,4.09914228459419
3,0.19171872232107778,3.736945421275765,4.21026160707872
4,0.21489839802497712,3.6764599686217436,4.093774333687445
5,0.20050309222179463,3.710534482274032,4.151363055645665
